GERL101B1	German I B1- Track	02-12-2023 , Sat	10:30-12:30	Computer labs
GERL101B1	German I B1- Track	02-12-2023 , Sat	12:30-14:30	Computer labs
GERL101B1	German I B1- Track	02-12-2023 , Sat	14:30-16:30	Computer labs
MECH0213	Mechanics of Materials	07-12-2023 , Thu	08:30-10:30	H402+H403
IE0353|IE562	Ergonomics	07-12-2023 , Thu	08:30-10:30	H303+H304+H305
ARB100	Arabic	07-12-2023 , Thu	08:30-10:30	H101+H102+H103+H104+H105+H106+H201+H202+H203+H204+H205+H206+H301+H302
LOGS316	Warehouse Management		07-12-2023 , Thu	10:30-12:30	H101+H102+H103
GERL102B1	German II B1-Track	07-12-2023 , Thu	10:30-12:30	Computer labs
IE0312	Simulation	07-12-2023 , Thu	10:30-12:30	H104+H105+H106
GERL102B1	German II B1-Track	07-12-2023 , Thu	12:30-14:30	Computer labs
NUR1201	Foundations of Nursing	07-12-2023 , Thu	12:30-14:30	H101+H102+H103
MECH0216	Statics and Strength of Materials	09-12-2023 , Sat	08:30-10:30	H101+H102+H103+H104
CS201	Discrete Structures	09-12-2023 , Sat	08:30-10:30	H206+H301+H302
CS222	Theory Of Algorithms	09-12-2023 , Sat	08:30-10:30	H203+H204+H205
MGT213	Research Methods for Business	09-12-2023 , Sat	08:30-10:30	H105+H106+H201+H202
CHEM106	General Chemistry lab	09-12-2023 , Sat	08:30-10:30	H303+H304+H305+H304+H402+H403
EI101	Leadership and Emotional Intelligence	09-12-2023 , Sat	10:30-12:30	H101+H102+H103+H104+H105+H106+H201+H202+H203
LOGS223	Procurement Management		14-12-2023 , Thu	08:30-10:30	C104+C107+C108+C127
ENE211	Electrical Circuits I	14-12-2023 , Thu	08:30-10:30	H101+H102+H103+H104+H105+H106
LOGS341	Green and Reverse Logistics	14-12-2023 , Thu	08:30-10:30	H503+H504
PHYS103	Physics I	14-12-2023 , Thu	08:30-10:30	H201+H202+H203+H204+H205+H206+H301+H302+H303+H304+H305+H306+H402+H403+ H404+H405
IE0231|IE3315	Operations Research	14-12-2023 , Thu	08:30-10:30	Computer labs
LOGS433	Logistics Enterprise Resource Planning Modules	14-12-2023 , Thu	10:30-12:30	H205+H206
PE101	Sports and Health	14-12-2023 , Thu	10:30-12:30	H101+H102+H103+H104+H105+H106+H201+H202+H203+H204
IE0361	Engineering Economics	14-12-2023 , Thu	10:30-12:30	H301+H302+H303+H304
